date,ours,etrade
2023-01-03,1.0,1.0
2023-01-04,1.0,1.0
2023-01-05,1.0,1.0
2023-01-06,1.0,1.0
2023-01-09,1.0,0.997410443882792
2023-01-10,1.0,0.9936614886744992
2023-01-11,1.0,1.0048835843328106
2023-01-12,1.0,1.0109392951744527
2023-01-13,1.0,1.0183423825217208
2023-01-16,1.0,1.0152933392733268
2023-01-17,1.0,1.0130653765747455
2023-01-18,1.0,1.026307122703487
2023-01-19,1.0,1.0218882146443573
2023-01-20,1.0,1.0241678189862844
2023-01-30,1.0,1.0267541770980673
2023-01-31,1.0,1.0267244616969708
2023-02-01,1.002555944,1.0292921830825008
2023-02-02,1.0008399440000002,1.0230116091889467
2023-02-03,0.997671944,1.0248627922790308
2023-02-06,0.9934891330000002,1.0215330964790377
2023-02-07,0.9938701330000002,1.0153146743731831
2023-02-08,0.9971678210000001,1.019255447084766
2023-02-09,0.9930826735000001,1.0116322749244222
2023-02-10,0.9826059950000001,1.013338812048321
2023-02-13,0.9853459950000001,1.0127982562051012
2023-02-14,0.989919357,1.0137768682820845
2023-02-15,0.989223897,1.0054114542599566
2023-02-16,0.9711738970000003,1.0058736771476853
2023-02-17,0.9641731230000002,1.0043364355869158
2023-02-20,0.9675151230000002,1.0098359095776457
2023-02-21,0.9652871230000002,1.012374902550435
2023-02-22,0.9474631230000002,1.009051815953919
2023-02-23,0.9502450765000005,1.008282868346411
2023-02-24,0.9490280765000003,1.0084166408886313
2023-02-27,0.9418660765000002,0.9986774061693764
2023-02-28,0.9471314970000001,0.998854964863672
2023-03-01,0.9503474970000001,0.9985759739085924
2023-03-02,0.9440174970000001,0.9919753310806216
2023-03-03,0.9451154885000002,0.9958494861978668
2023-03-06,0.9476792255000005,1.0015308530732212
2023-03-07,0.9409582625000004,1.0056318749495852
2023-03-08,0.9333128925000006,0.9996908561550548
2023-03-09,0.9347488925000007,1.0021756162044348
2023-03-10,0.9318808925000005,0.9883044473751028
2023-03-13,0.9344697875000005,0.99279112245818
2023-03-14,0.9434526050000006,0.9812044511789444
2023-03-15,0.9427716050000006,0.98770773993023
2023-03-16,0.9507166050000005,0.9773404765935384
2023-03-17,0.9561646050000006,0.9838144376677554
2023-03-20,0.9854476050000005,0.9667368419214292
2023-03-21,0.9761406050000005,0.9767066840262824
2023-03-22,0.9618396050000004,0.9818766271588812
2023-03-23,0.9686496050000006,0.9705946270867584
2023-03-24,0.9736436050000007,0.9785410206995124
2023-03-27,0.9670606050000007,0.977759361227621
2023-03-28,0.9622936050000004,0.9820219340606116
2023-03-29,0.9656986050000005,0.98281092551812
2023-03-30,0.9675146050000006,0.9874044073784995
2023-03-31,0.9717222250000006,0.9869185616515512
2023-04-03,0.9705153560000006,0.9967308933179624
2023-04-04,0.9748188405000007,0.998939379350329
2023-04-06,0.9579068405000005,0.9875726957223836
2023-04-07,0.9669191650000006,0.9897395754832332
2023-04-10,0.9591907175000006,0.986449617675034
2023-04-11,0.9596770365000007,0.9891702415972804
2023-04-12,0.9533770365000007,0.9845916779934656
2023-04-13,0.9462622020000007,0.9877645579826602
2023-04-14,0.9524542020000006,0.9909182275648156
2023-04-17,0.9498498600000008,0.996936443528392
2023-04-18,0.9477110320000007,0.9985584726384584
2023-04-19,0.9451090320000007,0.9903061609019718
2023-04-20,0.9454170320000007,0.9868805586583728
2023-04-21,0.9379090320000008,0.979522310432432
2023-04-24,0.9356064080000008,0.978747746007355
2023-04-25,0.9382079600000008,0.978366652365772
2023-04-26,0.9318430215000009,0.9785220099689858
2023-04-27,0.929284021500001,0.9753678502748756
2023-04-28,0.936139021500001,0.9868546776741866
2023-05-04,0.9390245535000009,0.9842726646179766
2023-05-05,0.935019188500001,0.9860422502515984
2023-05-08,0.9399678635000013,0.9930800791601816
2023-05-09,0.9407210995000013,0.9904646647508047
2023-05-10,0.9439708980000013,0.9875312404236742
2023-05-11,0.9518108980000012,0.9860459108851384
2023-05-12,0.9527831530000014,0.9864938271690448
2023-05-15,0.9507691530000012,0.9855517147577028
2023-05-16,0.9537901530000013,0.986805833417372
2023-05-17,0.9598321530000012,0.984139212585474
2023-05-18,0.9749371530000013,0.9920374607699468
2023-05-19,0.9970911530000014,0.9944596627320946
2023-05-22,0.9910491530000014,0.9894065885807284
2023-05-23,0.9991051530000014,0.992967779093085
2023-05-24,0.9840001530000013,0.9842804951930793
2023-05-25,1.0001121530000014,0.9875243950262304
2023-05-26,1.0031331530000014,0.9923725112381048
2023-05-29,1.0393851530000013,1.0021517685900765
2023-05-30,1.0424061530000013,1.001946438451776
2023-05-31,1.0383781530000014,0.9952415944416336
2023-06-01,1.0373711530000014,1.0051481214300035
2023-06-02,1.0504621530000013,1.0086406763640774
2023-06-05,1.0554971530000015,1.0126159663369645
2023-06-06,1.0565041530000012,1.0169152925014238
2023-06-07,1.0595251530000014,1.0161904830804291
2023-06-08,1.0373711530000014,1.009231533316225
2023-06-09,1.0544901530000013,1.023455091472802
2023-06-12,1.0665741530000012,1.0248455247407018
2023-06-13,1.0927561530000014,1.0419615070474293
2023-06-14,1.0937631530000014,1.043077248428139
2023-06-15,1.0987981530000013,1.0596545148096606
2023-06-16,1.1078611530000015,1.0728257776561805
2023-06-19,1.1038331530000014,1.06891632756627
2023-06-20,1.0991962210000015,1.06774867103855
2023-06-21,1.0965092210000014,1.0667333842659643
2023-06-26,1.0847462210000014,1.0536636038206864
2023-06-27,1.0800872210000014,1.052178718133029
2023-06-28,1.0887095245000014,1.057049746661518
2023-06-29,1.0964215245000013,1.052870725227934
2023-06-30,1.0987655245000014,1.055894987240782
2023-07-03,1.1153845245000014,1.0946644833631904
2023-07-04,1.1097653025000016,1.0876311380149508
2023-07-05,1.1077713025000016,1.0829155910377255
2023-07-06,1.1087683025000015,1.0800349553645274
2023-07-07,1.1037833025000015,1.0730604471265588
2023-07-10,1.0928163025000013,1.068646589732826
2023-07-11,1.0987983025000014,1.0795302653599503
2023-07-12,1.0997953025000016,1.0902716848302034
2023-07-13,1.1157473025000013,1.1177783944278452
2023-07-14,1.123723302500001,1.1208403450797335
